date,location,type
2023-04-12, Aggasian ,ISELCOII
2023-04-12, Portion of Baligatan  ,ISELCOII
2023-04-12,Parts of City of Ilagan ,ISELCOII
2023-04-13,Part of San Manuel,ISELCOII
2023-04-13,Magsaysay ,ISELCOII
2023-04-13,Sitio Singson  Parts of Municipality Naguilian ,ISELCOII
2023-04-13,San Roque ,ISELCOII
2023-04-13,Sitio Duco ,ISELCOII
2023-04-13,San Miguel ,ISELCOII
2023-04-13,San Bonifacio ,ISELCOII
2023-04-13,Raniag ,ISELCOII
2023-04-13,Part of Upi (Song Song)  Parts of Municipality Burgos ,ISELCOII
2023-04-13,Guibang ,ISELCOII
2023-04-13,Union ,ISELCOII
2023-04-13,Dammao ,ISELCOII
2023-04-13,Buenavista ,ISELCOII
2023-04-13,Rizal ,ISELCOII
2023-04-13,Pintor ,ISELCOII
2023-04-13,Mabini ,ISELCOII
2023-04-13,Upi Proper ,ISELCOII
2023-04-13,Barcolan ,ISELCOII
2023-04-13,Furao ,ISELCOII
2023-04-13,Lenzon ,ISELCOII
2023-04-13,Linglingay ,ISELCOII
2023-04-13,District 4 ,ISELCOII
2023-04-13,District 3 ,ISELCOII
2023-04-13,District 2 ,ISELCOII
2023-04-13,District 1 ,ISELCOII
2023-04-13,Upi ,ISELCOII
2023-04-13,Siffu  Parts of Municipality Gamu ,ISELCOII
2023-04-13,Bigao ,ISELCOII
2023-04-13,Gayong Gayong Norte ,ISELCOII
2023-04-13,Salindingan ,ISELCOII
2023-04-13,Namnama ,ISELCOII
2023-04-13,Alibagu ,ISELCOII
2023-04-13,Baligatan ,ISELCOII
2023-04-13,Parts of Municipality Ilagan  ,ISELCOII
2023-04-16,San Rodrigo,ISELCOII
2023-04-16,San Lorenzo ,ISELCOII
2023-04-16,Capellan ,ISELCOII
2023-04-16,Parts of City of Ilagan ,ISELCOII
2023-04-18,Municipality of Sta. Maria,ISELCOII
2023-04-18,Municipality of San Pablo ,ISELCOII
2023-04-18,Parts of Municipality of Cabagan  Ugad  Anao  Casibarag Norte  Casibarag Sur  Catabayungan  Centro  Cubag  Luquilu  Ngarag  San Antonio  ,ISELCOII
2023-04-21,Part of San Manuel,ISELCOII
2023-04-21,Magsaysay ,ISELCOII
2023-04-21,Sitio Singson  Parts of Municipality Naguilian ,ISELCOII
2023-04-21,San Roque ,ISELCOII
2023-04-21,Sitio Duco ,ISELCOII
2023-04-21,San Miguel ,ISELCOII
2023-04-21,San Bonifacio ,ISELCOII
2023-04-21,Raniag ,ISELCOII
2023-04-21,Part of Upi (Song Song)  Parts of Municipality Burgos ,ISELCOII
2023-04-21,Guibang ,ISELCOII
2023-04-21,Union ,ISELCOII
2023-04-21,Dammao ,ISELCOII
2023-04-21,Buenavista ,ISELCOII
2023-04-21,Rizal ,ISELCOII
2023-04-21,Pintor ,ISELCOII
2023-04-21,Mabini ,ISELCOII
2023-04-21,Upi Proper ,ISELCOII
2023-04-21,Barcolan ,ISELCOII
2023-04-21,Furao ,ISELCOII
2023-04-21,Lenzon ,ISELCOII
2023-04-21,Linglingay ,ISELCOII
2023-04-21,District 4 ,ISELCOII
2023-04-21,District 3 ,ISELCOII
2023-04-21,District 2 ,ISELCOII
2023-04-21,District 1 ,ISELCOII
2023-04-21,Upi ,ISELCOII
2023-04-21,Siffu  Parts of Municipality Gamu ,ISELCOII
2023-04-21,Bigao ,ISELCOII
2023-04-21,Gayong Gayong Norte ,ISELCOII
2023-04-21,Salindingan ,ISELCOII
2023-04-21,Namnama ,ISELCOII
2023-04-21,Alibagu ,ISELCOII
2023-04-21,Baligatan ,ISELCOII
2023-04-21,Parts of Municipality Ilagan  ,ISELCOII
2023-04-28,Sitio Singson,ISELCOII
2023-04-28,San Roque ,ISELCOII
2023-04-28,Sitio Duco ,ISELCOII
2023-04-28,San Miguel ,ISELCOII
2023-04-28,San Bonifacio ,ISELCOII
2023-04-28,Raniag ,ISELCOII
2023-04-28,Siffu  Parts of Municipality Burgos ,ISELCOII
2023-04-28,Bigao ,ISELCOII
2023-04-28,Gayong Gayong Norte ,ISELCOII
2023-04-28,Salindingan ,ISELCOII
2023-04-28,Namnama ,ISELCOII
2023-04-28,Alibagu ,ISELCOII
2023-04-28,Baligatan ,ISELCOII
2023-04-28,Municipality of Gamu  Parts of Municipality Ilagan  ,ISELCOII
2023-04-30, Municipality of Quirino,ISELCOII
2023-04-30, Municipality of Quezon ,ISELCOII
2023-04-30, Municipality of Mallig ,ISELCOII
